HUGO_SYMBOL	Entrez_Gene_Id	Bill_Tumor
AGO3	00000	3.18
AGO4	00000	3.99
AGPAT1	00000	38.35
AGPAT2	00000	42.15
AGPAT3	00000	35.78
AGPAT4	00000	5.55
AGPAT5	00000	7.49
AGPAT6	00000	25.62
AGPAT9	00000	40.19
AGPS	00000	6.08
AGR2	00000	8.32
AGR3	00000	0.78
AGRN	00000	75.95
AGRP	00000	0.37
AGT	00000	10.38
AGTPBP1	00000	3.86
AGTR1	00000	8.09
AGTR2	00000	0.1
AGTRAP	00000	27.39
AGXT	00000	7.07
AGXT2	00000	28.88
AHCTF1	00000	9.77
AHCY	00000	65.13
AHCYL1	00000	43.1
AHCYL2	00000	12.44
AHDC1	00000	10.87
AHI1	00000	8.69
AHNAK	00000	76.74
AHNAK2	00000	0.58
AHR	00000	6.69
AHRR	00000	0.41
AHSA1	00000	59.43
AHSA2	00000	23.71
AHSG	00000	0.1
AHSP	00000	0.14
AICDA	00000	0.02
AIDA	00000	24.92
AIF1	00000	20.09
AIF1L	00000	397.63
AIFM1	00000	35.57
AIFM2	00000	6.29
AIFM3	00000	0.84
AIG1	00000	47.14
AIM1	00000	9.24
AIM1L	00000	0.65
AIM2	00000	0.18
AIMP1	00000	16.79
AIMP2	00000	12.62
AIP	00000	43.21
AIPL1	00000	0
AIRE	00000	0.2
AJAP1	00000	5.02
AJUBA	00000	15.57
AK1	00000	37.78
AK2	00000	96.24
AK3	00000	53.07
AK4	00000	37.29
AK5	00000	0.71
AK7	00000	3.51
AK8	00000	1.52
AK9	00000	4.5
AKAP1	00000	19.34
AKAP10	00000	7.53
AKAP11	00000	8.39
AKAP12	00000	18.19
AKAP13	00000	16.26
AKAP14	00000	0.01
AKAP17A	00000	9.59
AKAP2	00000	28.62
AKAP3	00000	2.07
AKAP4	00000	0.04
AKAP5	00000	1.9
AKAP6	00000	2.36
AKAP7	00000	4.4
AKAP8	00000	9.6
AKAP8L	00000	62.74
AKAP9	00000	31.94
AKIP1	00000	14.96
AKIRIN1	00000	24.59
AKIRIN2	00000	15.74
AKNA	00000	5.04
AKNAD1	00000	0.2
AKR1A1	00000	112.77
AKR1B1	00000	546.39
AKR1B10	00000	0.21
AKR1B15	00000	0.01
AKR1C1	00000	71.76
AKR1C2	00000	7.3
AKR1C3	00000	45.06
AKR1C4	00000	0.14
AKR1CL1	00000	0.45
AKR1D1	00000	0.01
AKR1E2	00000	0.72
AKR7A2	00000	46.57
AKR7A3	00000	24.57
AKT1	00000	46.85
AKT1S1	00000	27.89
AKT2	00000	86.25
AKT3	00000	15.17
AKTIP	00000	24.3
ALAD	00000	46.84
ALAS1	00000	18.11
ALAS2	00000	0.35
ALB	00000	151.47
ALCAM	00000	9.56
